Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities
haat,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,0,0,0.0000000000,0.0000000000
hon,syllable,regular,CVN,syllable,6,9,0.0003837053,0.0000667809,14,29,0.0009730331,0.0001846005,52,158,0.0011896591,0.0001510252
hot,syllable,regular,CVS,syllable,1,1,0.0000639509,0.0000074201,1,1,0.0000695024,0.0000063655,5,9,0.0001143903,0.0000086027
hun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hing,syllable,regular,CVN,syllable,37,62,0.0023661828,0.0004600464,19,72,0.0013205449,0.0004583185,66,414,0.0015099520,0.0003957243
hik,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
heng,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,11,46,0.0002516587,0.0000439694
hek,syllable,regular,CVS,syllable,2,2,0.0001279018,0.0000148402,0,0,0.0000000000,0.0000000000,18,181,0.0004118051,0.0001730099
hoeng,syllable,regular,CVN,syllable,40,368,0.0025580354,0.0027305983,30,221,0.0020850709,0.0014067831,71,789,0.0016243423,0.0007541702
hoek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hang,syllable,regular,CVN,syllable,18,77,0.0011511159,0.0005713480,33,116,0.0022935780,0.0007384020,66,771,0.0015099520,0.0007369648
hak,syllable,regular,CVS,syllable,19,87,0.0012150668,0.0006455491,1,3,0.0000695024,0.0000190966,30,161,0.0006863418,0.0001538928
haang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,9,71,0.0006255213,0.0004519529,63,1359,0.0014413178,0.0012990079
haak,syllable,regular,CVS,syllable,21,46,0.0013429686,0.0003413248,31,802,0.0021545733,0.0051051586,73,548,0.0016700984,0.0005238089
hong,syllable,regular,CVN,syllable,54,175,0.0034533478,0.0012985182,34,65,0.0023630803,0.0004137597,78,339,0.0017844887,0.0003240351
hok,syllable,regular,CVS,syllable,4,4,0.0002558035,0.0000296804,37,355,0.0025715874,0.0022597647,108,1632,0.0024708305,0.0015599565
hung,syllable,regular,CVN,syllable,18,63,0.0011511159,0.0004674666,59,123,0.0041006394,0.0007829607,161,548,0.0036833677,0.0005238089
huk,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,14,0.0000228781,0.0000133820
zi,syllable,regular,CV,syllable,271,1977,0.0173306900,0.0146695457,254,1856,0.0176536002,0.0118144319,556,11568,0.0127202013,0.0110573389
ze,syllable,regular,CV,syllable,184,2589,0.0117669630,0.0192106493,40,536,0.0027800945,0.0034119265,131,4110,0.0029970259,0.0039285670
zyu,syllable,regular,CV,syllable,92,482,0.0058834815,0.0035764901,66,728,0.0045871560,0.0046341091,268,4789,0.0061313201,0.0045775930
zoe,syllable,colloquial,CV,syllable,2,18,0.0001279018,0.0001335619,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zo,syllable,regular,CV,syllable,28,958,0.0017906248,0.0071084597,23,867,0.0015985544,0.0055189184,197,11091,0.0045069778,0.0106013957
zaa,syllable,regular,CV,syllable,5,98,0.0003197544,0.0007271702,15,202,0.0010425354,0.0012858380,53,1390,0.0012125372,0.0013286394
zei,syllable,loan,CVV,syllable,2,9,0.0001279018,0.0000667809,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zeoi,syllable,regular,CVV,syllable,60,282,0.0038370531,0.0020924693,46,346,0.0031971087,0.0022024749,69,1184,0.0015785861,0.0011317332
zui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zoi,syllable,regular,CVV,syllable,22,211,0.0014069195,0.0015656420,16,125,0.0011120378,0.0007956918,35,1012,0.0008007321,0.0009673260
zai,syllable,regular,CVV,syllable,63,357,0.0040289058,0.0026489771,85,324,0.0059077009,0.0020624332,270,2023,0.0061770762,0.0019336961
zaai,syllable,regular,CVV,syllable,4,13,0.0002558035,0.0000964614,2,3,0.0001390047,0.0000190966,27,141,0.0006177076,0.0001347757
ziu,syllable,regular,CVV,syllable,19,30,0.0012150668,0.0002226031,36,85,0.0025020851,0.0005410704,91,857,0.0020819035,0.0008191683
zeu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000
zou,syllable,regular,CVV,syllable,66,625,0.0042207585,0.0046375650,68,852,0.0047261607,0.0054234354,181,1914,0.0041409288,0.0018295078
zau,syllable,regular,CVV,syllable,80,2333,0.0051160709,0.0173111027,62,2038,0.0043091465,0.0129729592,233,12634,0.0053305880,0.0120762811
zaau,syllable,regular,CVV,syllable,5,10,0.0003197544,0.0000742010,4,14,0.0002780095,0.0000891175,19,46,0.0004346831,0.0000439694
zim,syllable,regular,CVN,syllable,5,12,0.0003197544,0.0000890412,7,18,0.0004865165,0.0001145796,16,75,0.0003660490,0.0000716892
zip,syllable,regular,CVS,syllable,14,63,0.0008953124,0.0004674666,12,51,0.0008340284,0.0003246423,54,501,0.0012354152,0.0004788837
zem,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zam,syllable,regular,CVN,syllable,14,24,0.0008953124,0.0001780825,11,14,0.0007645260,0.0000891175,33,229,0.0007549760,0.0002188910
zap,syllable,regular,CVS,syllable,12,24,0.0007674106,0.0001780825,5,8,0.0003475118,0.0000509243,30,164,0.0006863418,0.0001567603
zaam,syllable,regular,CVN,syllable,4,12,0.0002558035,0.0000890412,10,34,0.0006950236,0.0002164282,45,303,0.0010295127,0.0002896243
zaap,syllable,regular,CVS,syllable,25,64,0.0015987721,0.0004748867,32,73,0.0022240756,0.0004646840,84,495,0.0019217570,0.0004731486
zin,syllable,regular,CVN,syllable,14,50,0.0008953124,0.0003710052,17,102,0.0011815402,0.0006492845,55,220,0.0012582933,0.0002102883
zit,syllable,regular,CVS,syllable,12,62,0.0007674106,0.0004600464,19,55,0.0013205449,0.0003501044,50,394,0.0011439030,0.0003766072
zen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zet,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zyun,syllable,regular,CVN,syllable,46,135,0.0029417407,0.0010017140,42,103,0.0029190992,0.0006556500,106,629,0.0024250744,0.0006012332
zyut,syllable,regular,CVS,syllable,5,27,0.0003197544,0.0002003428,3,8,0.0002085071,0.0000509243,8,40,0.0001830245,0.0000382342
zeon,syllable,regular,CVN,syllable,30,94,0.0019185266,0.0006974898,30,59,0.0020850709,0.0003755665,82,503,0.0018760009,0.0004807954
zeot,syllable,regular,CVS,syllable,1,3,0.0000639509,0.0000222603,3,4,0.0002085071,0.0000254621,1,4,0.0000228781,0.0000038234
zan,syllable,regular,CVN,syllable,22,363,0.0014069195,0.0026934978,52,921,0.0036141229,0.0058626572,121,3370,0.0027682453,0.0032212338
zat,syllable,regular,CVS,syllable,17,59,0.0010871651,0.0004377861,13,25,0.0009035307,0.0001591384,40,297,0.0009151224,0.0002838891
zaan,syllable,regular,CVN,syllable,14,33,0.0008953124,0.0002448634,8,53,0.0005560189,0.0003373733,27,179,0.0006177076,0.0001710982
zaat,syllable,regular,CVS,syllable,4,6,0.0002558035,0.0000445206,5,7,0.0003475118,0.0000445587,11,43,0.0002516587,0.0000411018
zon,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
zing,syllable,regular,CVN,syllable,84,493,0.0053718744,0.0036581113,71,264,0.0049346678,0.0016805011,273,2538,0.0062457104,0.0024259618
zik,syllable,regular,CVS,syllable,58,224,0.0037091514,0.0016621033,53,2077,0.0036836252,0.0132212151,126,5738,0.0028826356,0.0054847001
zeng,syllable,regular,CVN,syllable,31,123,0.0019824775,0.0009126728,9,68,0.0006255213,0.0004328563,23,101,0.0005261954,0.0000965414
zek,syllable,regular,CVS,syllable,17,184,0.0010871651,0.0013652991,10,308,0.0006950236,0.0019605846,11,73,0.0002516587,0.0000697775
zoeng,syllable,regular,CVN,syllable,72,321,0.0046044638,0.0023818534,61,273,0.0042396441,0.0017377909,180,1092,0.0041180508,0.0010437944
zoek,syllable,regular,CVS,syllable,15,32,0.0009592633,0.0002374433,23,108,0.0015985544,0.0006874777,52,478,0.0011896591,0.0004568990
zang,syllable,regular,CVN,syllable,28,107,0.0017906248,0.0007939511,11,31,0.0007645260,0.0001973316,41,182,0.0009380005,0.0001739657
zak,syllable,regular,CVS,syllable,5,25,0.0003197544,0.0001855026,6,7,0.0004170142,0.0000445587,8,10,0.0001830245,0.0000095586
zaang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,8,46,0.0005560189,0.0002928146,9,24,0.0002059025,0.0000229405
zaak,syllable,regular,CVS,syllable,9,42,0.0005755580,0.0003116444,11,28,0.0007645260,0.0001782350,31,161,0.0007092199,0.0001538928
zong,syllable,regular,CVN,syllable,18,37,0.0011511159,0.0002745438,24,58,0.0016680567,0.0003692010,134,667,0.0030656600,0.0006375558
zok,syllable,regular,CVS,syllable,15,79,0.0009592633,0.0005861882,26,94,0.0018070614,0.0005983602,34,307,0.0007778540,0.0002934477
zung,syllable,regular,CVN,syllable,210,925,0.0134296860,0.0068635962,134,862,0.0093133167,0.0054870907,344,7068,0.0078700526,0.0067559882
zuk,syllable,regular,CVS,syllable,45,127,0.0028777899,0.0009423532,29,109,0.0020155685,0.0006938433,103,556,0.0023564402,0.0005314558
ci,syllable,regular,CV,syllable,85,629,0.0054358253,0.0046672454,75,786,0.0052126772,0.0050033101,133,4946,0.0030427820,0.0047276624
ce,syllable,regular,CV,syllable,21,54,0.0013429686,0.0004006856,32,147,0.0022240756,0.0009357336,166,2048,0.0037977580,0.0019575925
cyu,syllable,regular,CV,syllable,18,71,0.0011511159,0.0005268274,21,42,0.0014595496,0.0002673524,42,169,0.0009608785,0.0001615396
coe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
co,syllable,regular,CV,syllable,30,184,0.0019185266,0.0013652991,32,176,0.0022240756,0.0011203341,101,1682,0.0023106841,0.0016077493
caa,syllable,regular,CV,syllable,18,60,0.0011511159,0.0004452062,40,186,0.0027800945,0.0011839894,110,1745,0.0025165866,0.0016679682
cei,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
ceoi,syllable,regular,CVV,syllable,40,114,0.0025580354,0.0008458919,35,112,0.0024325827,0.0007129399,94,591,0.0021505376,0.0005649107
cui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
coi,syllable,regular,CVV,syllable,35,121,0.0022382810,0.0008978326,31,64,0.0021545733,0.0004073942,149,703,0.0034088309,0.0006719666
cai,syllable,regular,CVV,syllable,11,54,0.0007034597,0.0004006856,10,79,0.0006950236,0.0005028772,20,665,0.0004575612,0.0006356441
caai,syllable,regular,CVV,syllable,1,1,0.0000639509,0.0000074201,9,18,0.0006255213,0.0001145796,20,286,0.0004575612,0.0002733747
ciu,syllable,regular,CVV,syllable,19,48,0.0012150668,0.0003561650,12,18,0.0008340284,0.0001145796,52,238,0.0011896591,0.0002274937
ceu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cou,syllable,regular,CVV,syllable,10,18,0.0006395089,0.0001335619,23,87,0.0015985544,0.0005538015,83,334,0.0018988790,0.0003192558
cau,syllable,regular,CVV,syllable,10,17,0.0006395089,0.0001261418,18,43,0.0012510425,0.0002737180,85,422,0.0019446351,0.0004033711
caau,syllable,regular,CVV,syllable,4,16,0.0002558035,0.0001187217,7,41,0.0004865165,0.0002609869,51,330,0.0011667811,0.0003154324
cim,syllable,regular,CVN,syllable,7,20,0.0004476562,0.0001484021,9,12,0.0006255213,0.0000763864,23,142,0.0005261954,0.0001357315
cip,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cam,syllable,regular,CVN,syllable,11,17,0.0007034597,0.0001261418,7,12,0.0004865165,0.0000763864,23,1044,0.0005261954,0.0009979134
cap,syllable,regular,CVS,syllable,2,4,0.0001279018,0.0000296804,3,4,0.0002085071,0.0000254621,4,8,0.0000915122,0.0000076468
caam,syllable,regular,CVN,syllable,7,33,0.0004476562,0.0002448634,9,64,0.0006255213,0.0004073942,18,147,0.0004118051,0.0001405108
caap,syllable,regular,CVS,syllable,1,2,0.0000639509,0.0000148402,1,3,0.0000695024,0.0000190966,6,24,0.0001372684,0.0000229405
cin,syllable,regular,CVN,syllable,68,325,0.0043486602,0.0024115338,91,535,0.0063247150,0.0034055609,181,3957,0.0041409288,0.0037823211
cit,syllable,regular,CVS,syllable,9,14,0.0005755580,0.0001038815,15,30,0.0010425354,0.0001909660,30,145,0.0006863418,0.0001385991
cen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cet,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cyun,syllable,regular,CVN,syllable,44,175,0.0028138390,0.0012985182,61,181,0.0042396441,0.0011521617,188,1251,0.0043010753,0.0011957755
cyut,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,4,0.0000228781,0.0000038234
ceon,syllable,regular,CVN,syllable,5,5,0.0003197544,0.0000371005,9,12,0.0006255213,0.0000763864,34,87,0.0007778540,0.0000831594
ceot,syllable,regular,CVS,syllable,62,358,0.0039649549,0.0026563972,50,406,0.0034751182,0.0025844070,156,2995,0.0035689774,0.0028627879
can,syllable,regular,CVN,syllable,24,84,0.0015348213,0.0006232887,19,75,0.0013205449,0.0004774151,106,392,0.0024250744,0.0003746954
cat,syllable,regular,CVS,syllable,25,57,0.0015987721,0.0004229459,32,112,0.0022240756,0.0007129399,68,790,0.0015557081,0.0007551260
caan,syllable,regular,CVN,syllable,19,74,0.0012150668,0.0005490877,28,76,0.0019460662,0.0004837806,83,653,0.0018988790,0.0006241738
caat,syllable,regular,CVS,syllable,4,17,0.0002558035,0.0001261418,1,3,0.0000695024,0.0000190966,23,66,0.0005261954,0.0000630865
con,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
cing,syllable,regular,CVN,syllable,38,130,0.0024301337,0.0009646135,84,233,0.0058381985,0.0014831695,142,1055,0.0032486845,0.0010084278
cik,syllable,regular,CVS,syllable,3,10,0.0001918527,0.0000742010,4,6,0.0002780095,0.0000381932,1,66,0.0000228781,0.0000630865
ceng,syllable,regular,CVN,syllable,9,32,0.0005755580,0.0002374433,6,78,0.0004170142,0.0004965117,64,865,0.0014641958,0.0008268152
cek,syllable,regular,CVS,syllable,3,7,0.0001918527,0.0000519407,5,7,0.0003475118,0.0000445587,11,25,0.0002516587,0.0000238964
coeng,syllable,regular,CVN,syllable,58,207,0.0037091514,0.0015359615,64,160,0.0044481512,0.0010184855,255,1357,0.0058339053,0.0012970962
coek,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,13,48,0.0002974148,0.0000458811
cang,syllable,regular,CVN,syllable,8,19,0.0005116071,0.0001409820,19,33,0.0013205449,0.0002100626,13,83,0.0002974148,0.0000793360
cak,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,2,7,0.0000457561,0.0000066910
caang,syllable,regular,CVN,syllable,1,4,0.0000639509,0.0000296804,2,3,0.0001390047,0.0000190966,10,19,0.0002287806,0.0000181613
caak,syllable,regular,CVS,syllable,11,22,0.0007034597,0.0001632423,18,41,0.0012510425,0.0002609869,32,222,0.0007320979,0.0002122000
cong,syllable,regular,CVN,syllable,20,49,0.0012790177,0.0003635851,22,59,0.0015290520,0.0003755665,85,395,0.0019446351,0.0003775630
cok,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000
cung,syllable,regular,CVN,syllable,25,105,0.0015987721,0.0007791109,44,89,0.0030581040,0.0005665326,129,543,0.0029512697,0.0005190297
cuk,syllable,regular,CVS,syllable,7,17,0.0004476562,0.0001261418,6,12,0.0004170142,0.0000763864,34,100,0.0007778540,0.0000955856
mi,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,1,6,0.0000695024,0.0000381932,5,1082,0.0001143903,0.0010342359
me,syllable,colloquial,CV,syllable,3,272,0.0001918527,0.0020182683,4,279,0.0002780095,0.0017759841,18,9428,0.0004118051,0.0090118077
myu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
moe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mu,syllable,loan,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mo,syllable,regular,CV,syllable,16,24,0.0010232142,0.0001780825,7,16,0.0004865165,0.0001018486,33,354,0.0007549760,0.0003383729
maa,syllable,regular,CV,syllable,142,402,0.0090810258,0.0029828818,54,818,0.0037531276,0.0052070072,156,10788,0.0035689774,0.0103117715
mei,syllable,regular,CVV,syllable,73,325,0.0046684147,0.0024115338,57,369,0.0039616347,0.0023488822,158,3878,0.0036147335,0.0037068085
meoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mui,syllable,regular,CVV,syllable,24,88,0.0015348213,0.0006529692,25,97,0.0017375591,0.0006174568,68,525,0.0015557081,0.0005018243
moi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,1,0.0000228781,0.0000009559
mai,syllable,regular,CVV,syllable,29,463,0.0018545757,0.0034355082,19,430,0.0013205449,0.0027371798,36,5098,0.0008236102,0.0048729524
maai,syllable,regular,CVV,syllable,60,472,0.0038370531,0.0035022891,22,840,0.0015290520,0.0053470489,278,5370,0.0063601007,0.0051329452
miu,syllable,regular,CVV,syllable,7,10,0.0004476562,0.0000742010,5,9,0.0003475118,0.0000572898,20,77,0.0004575612,0.0000736009
meu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mou,syllable,regular,CVV,syllable,87,1045,0.0055637271,0.0077540087,98,1195,0.0068112316,0.0076068137,197,12679,0.0045069778,0.0121192946
mau,syllable,regular,CVV,syllable,12,50,0.0007674106,0.0003710052,10,30,0.0006950236,0.0001909660,20,73,0.0004575612,0.0000697775
maau,syllable,regular,CVV,syllable,10,20,0.0006395089,0.0001484021,9,20,0.0006255213,0.0001273107,12,37,0.0002745367,0.0000353667
mim,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mam,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
map,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
maam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
maap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
min,syllable,regular,CVN,syllable,13,15,0.0008313615,0.0001113016,39,120,0.0027105922,0.0007638641,123,1041,0.0028140014,0.0009950458
mit,syllable,regular,CVS,syllable,2,5,0.0001279018,0.0000371005,3,4,0.0002085071,0.0000254621,3,9,0.0000686342,0.0000086027
men,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
met,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
myun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
myut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
meon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
meot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
man,syllable,regular,CVN,syllable,109,611,0.0069706465,0.0045336836,64,602,0.0044481512,0.0038320517,212,4732,0.0048501487,0.0045231092
mat,syllable,regular,CVS,syllable,37,211,0.0023661828,0.0015656420,42,886,0.0029190992,0.0056398635,94,2357,0.0021505376,0.0022529519
maan,syllable,regular,CVN,syllable,40,183,0.0025580354,0.0013578790,65,198,0.0045176536,0.0012603758,149,3073,0.0034088309,0.0029373446
maat,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,2,3,0.0001390047,0.0000190966,1,4,0.0000228781,0.0000038234
mon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mun,syllable,regular,CVN,syllable,25,64,0.0015987721,0.0004748867,22,87,0.0015290520,0.0005538015,94,729,0.0021505376,0.0006968188
mut,syllable,regular,CVS,syllable,11,23,0.0007034597,0.0001706624,2,5,0.0001390047,0.0000318277,11,107,0.0002516587,0.0001022766
ming,syllable,regular,CVN,syllable,40,181,0.0025580354,0.0013430388,45,130,0.0031276063,0.0008275195,128,622,0.0029283917,0.0005945423
mik,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,2,0.0000228781,0.0000019117
meng,syllable,regular,CVN,syllable,7,13,0.0004476562,0.0000964614,16,54,0.0011120378,0.0003437389,22,268,0.0005033173,0.0002561693
mek,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
moeng,syllable,impossible,CVN,syllable,25,843,0.0015987721,0.0062551477,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
moek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
mang,syllable,regular,CVN,syllable,1,2,0.0000639509,0.0000148402,4,7,0.0002780095,0.0000445587,4,23,0.0000915122,0.0000219847
mak,syllable,regular,CVS,syllable,11,27,0.0007034597,0.0002003428,14,27,0.0009730331,0.0001718694,29,82,0.0006634637,0.0000783802
maang,syllable,regular,CVN,syllable,3,3,0.0001918527,0.0000222603,7,16,0.0004865165,0.0001018486,16,47,0.0003660490,0.0000449252
maak,syllable,regular,CVS,syllable,3,6,0.0001918527,0.0000445206,2,4,0.0001390047,0.0000254621,4,6,0.0000915122,0.0000057351
mong,syllable,regular,CVN,syllable,35,230,0.0022382810,0.0017066239,19,84,0.0013205449,0.0005347049,107,1087,0.0024479524,0.0010390152
mok,syllable,regular,CVS,syllable,4,5,0.0002558035,0.0000371005,14,28,0.0009730331,0.0001782350,16,31,0.0003660490,0.0000296315
mung,syllable,regular,CVN,syllable,9,16,0.0005755580,0.0001187217,8,14,0.0005560189,0.0000891175,26,46,0.0005948296,0.0000439694
muk,syllable,regular,CVS,syllable,10,56,0.0006395089,0.0004155258,17,55,0.0011815402,0.0003501044,39,221,0.0008922443,0.0002112441
ni,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,15,891,0.0010425354,0.0056716912,3,3690,0.0000686342,0.0035271076
ne,syllable,colloquial,CV,syllable,30,4724,0.0019185266,0.0350525714,4,2682,0.0002780095,0.0170723634,2,2,0.0000457561,0.0000019117
nyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
